,0-4,5-17,18-25,26-49,50-64,65+,Teachers
Low Risk,"128,527","327,148","220,718","668,761","239,859","132,505","35,829"
High Risk,"9,350","37,451","22,401","128,724","104,110","103,763","9,171"
