,0-4,5-17,18-25,26-49,50-64,65+
0-4,0.6503364211,0.7264668299,0.3095544504,1.465799578,0.6255246492,0.2588059576
5-17,0.2215449735,2.632186271,0.7540738446,1.361587244,0.432838956,0.1994356915
18-25,0.07235710616,1.524238365,2.786609268,1.812906336,0.4209709232,0.1282752168
26-49,0.1077763601,0.3671219944,0.5247702327,2.256685346,0.6386754622,0.1874867688
50-64,0.05831066632,0.26610973,0.3765903216,1.848941378,1.117129427,0.3787754992
65+,0.03500920615,0.1530479199,0.1727764471,1.107579262,0.7948316258,0.5963456983
