"","0-4","5-17","18-25 T","18-25 S","18-25 X","26-49 T","26-49 S","26-49 X","50-64 T","50-64 S","50-64 X","65+ T","65+ S","65+ X"
"0-4",0.9952041378,0.4921330792,0.0327737839145362,0.0129717377479205,0.000244655247543239,0.240040694502132,0.0945315010325456,0.0027389597653227,0.0415623959263636,0.0165295820556006,0.000152288898035846,0.0010524387878187,0.000401562955449225,3.78686673207581e-06
"5-17",0.1676587774,3.715152898,0.431907699993641,0.170947408155093,0.00322417715126595,0.227612650499088,0.0896371573590991,0.00259715084181247,0.0627029980021316,0.0249373099771411,0.000229750240727375,0.0018012492488497,0.000687275098790243,6.48122336006159e-06
"18-25 T",0.0333489367969122,3.35404405276793,0.579605362067283,1.15921072413457,0.115921072413457,0.0748408815786751,0.14968176315735,0.014968176315735,0.0210540950123217,0.0421081900246434,0.00421081900246434,0.000682235168576818,0.00136447033715364,0.000136447033715364
"18-25 S",0.0166744683984561,1.67702202638397,1.15921072413457,2.31842144826913,0.231842144826913,0.14968176315735,0.2993635263147,0.02993635263147,0.0421081900246434,0.0842163800492868,0.00842163800492868,0.00136447033715364,0.00272894067430727,0.000272894067430727
"18-25 X",0.0150070215586105,1.50931982374557,0.521644825860555,1.04328965172111,0.104328965172111,0.0673567934208076,0.134713586841615,0.0134713586841615,0.0189486855110895,0.0378973710221791,0.00378973710221791,0.000614011651719136,0.00122802330343827,0.000122802330343827
"26-49 T",0.358173101486652,2.55200339915196,0.222063688221663,0.444127376443326,0.0444127376443326,0.236181571432646,0.472363142865292,0.0472363142865292,0.043856679270126,0.0877133585402521,0.00877133585402521,0.00300798384571214,0.00601596769142428,0.000601596769142428
"26-49 S",0.179086550743326,1.27600169957598,0.444127376443326,0.888254752886652,0.0888254752886652,0.472363142865292,0.944726285730583,0.0944726285730583,0.0877133585402521,0.175426717080504,0.0175426717080504,0.00601596769142428,0.0120319353828486,0.00120319353828486
"26-49 X",0.0358173101486652,0.255200339915196,0.0444127376443326,0.0888254752886652,0.00888254752886652,0.0472363142865292,0.0944726285730583,0.00944726285730583,0.00877133585402521,0.0175426717080504,0.00175426717080504,0.000601596769142428,0.00120319353828486,0.000120319353828486
"50-64 T",0.611948701221917,5.70080597948261,0.31369801278719,0.62739602557438,0.062739602557438,0.21806070309272,0.436121406185439,0.0436121406185439,0.0910426773652096,0.182085354730419,0.0182085354730419,0.00684107391222095,0.0136821478244419,0.00136821478244419
"50-64 S",0.305974350610958,2.8504029897413,0.62739602557438,1.25479205114876,0.125479205114876,0.436121406185439,0.872242812370878,0.0872242812370878,0.182085354730419,0.364170709460839,0.0364170709460839,0.0136821478244419,0.0273642956488838,0.00273642956488838
"50-64 X",0.0611948701221917,0.570080597948261,0.062739602557438,0.125479205114876,0.0125479205114876,0.0436121406185439,0.0872242812370878,0.00872242812370878,0.0182085354730419,0.0364170709460839,0.00364170709460839,0.00136821478244419,0.00273642956488838,0.000273642956488838
"65+ T",0.059840564042604,0.404233979776901,0.0258249654289573,0.0516499308579145,0.00516499308579145,0.0505211214153387,0.101042242830677,0.0101042242830677,0.0526031660779649,0.10520633215593,0.010520633215593,0.0378681787211883,0.0757363574423767,0.00757363574423767
"65+ S",0.029920282021302,0.202116989888451,0.0516499308579145,0.103299861715829,0.0103299861715829,0.101042242830677,0.202084485661355,0.0202084485661355,0.10520633215593,0.21041266431186,0.021041266431186,0.0757363574423767,0.151472714884753,0.0151472714884753
"65+ X",0.0059840564042604,0.0404233979776901,0.00516499308579145,0.0103299861715829,0.00103299861715829,0.0101042242830677,0.0202084485661355,0.00202084485661355,0.010520633215593,0.021041266431186,0.0021041266431186,0.00757363574423767,0.0151472714884753,0.00151472714884753
