,18-25,26-49,50-64,65+,Total
Staff,2403.442699,24271.18652,8484.994724,799.4802456,35959.10419
Teachers,3007.720128,30373.48727,10618.30574,1000.486855,45000
(Staff) Prop School Adults Age Group,0.4441638102,0.4141638102,0.4341638102,0.4441638102,0.4086303437
(Teachers) Prop School Adults Age Group,0.5558361898,0.5258361898,0.5458361898,0.5558361898,0.5113688419
(Parents) Prop School Adults,0,0.06,0.02,0,0.08000081438
