,18-25,26-49,50-64,65+
Teachers_gprop,0.06683822507,0.6749663838,0.2359623499,0.02223304122
Staff_gprop,0.0442439364,0.4945456655,0.4134849716,0.04772542648
Teachers_aprop,0.01237139067,0.03808659382,0.03086994975,0.004234542363
Staff_aprop,0.009885869466,0.03043466212,0.02466790532,0.003383785556
total group_aprop,0.02225726014,0.07286708773,0.05666896181,0.007618327918
