RiskGroup,Metro,0-4,5-17,18-25 T,18-25 S,18-25 X,26-49 T,26-49 S,26-49 X,50-64 T,50-64 S,50-64 X,65+ T,65+ S,65+ X
0,12420.00,128527,327148.00,2730.588606,2181.989337,215805.4221,25470.82857,20353.51507,622936.6564,7404.435277,5916.819101,226537.7456,796.5876339,636.5461716,131071.8662
1,12420.00,9350.00,37451.00,277.1315224,221.4533619,21902.42,4902.658703,3917.671446,119903.6699,3213.870468,2568.175622,98327.95391,203.899221,162.9340741,103396.1667
