RiskGroup,Metro,0-4,5-17,18-25 T,18-25 S,18-25 V,18-25 X,26-49 T,26-49 S,26-49 V,26-49 X,50-64 T,50-64 S,50-64 V,50-64 X,65+ T,65+ S,65+ V,65+ X
0,12420,128527,327148,2730.588606,2181.989337,203.8375651,215601.5845,25470.82857,20353.51507,2906.322813,620030.3335,7404.435277,5916.819101,271.3061323,226266.4395,796.5876339,636.5461716,28.66267611,131043.2035
1,12420,9350,37451,277.1315224,221.4533619,20.68777941,21881.72734,4902.658703,3917.671446,559.4128512,119344.257,3213.870468,2568.175622,117.759523,98210.19439,203.899221,162.9340741,7.336665902,103388.83
